A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME	BSSID	RSSI
1	0	0	0	   1	   0	   1	   2		5.00	15:38:03.400328	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	0	0	0	   1	   0	   1	   2		5.00	15:38:03.400328	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	0	0	0	   1	   0	   1	   2		5.00	15:38:03.400328	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	0	0	0	   1	   0	   1	   2		5.00	15:38:03.400328	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	0	0	0	   1	   0	   1	   2		5.00	15:38:03.400328	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	0	0	0	   1	   0	   1	   2		5.00	15:38:03.400328	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	0	0	0	   1	   0	   1	   2		5.00	15:38:03.400328	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	0	0	0	   1	   0	   1	   2		5.00	15:38:03.400328	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	0	0	0	   1	   0	   1	   2		5.00	15:38:03.400328	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	0	0	0	   1	   0	   1	   2		5.00	15:38:03.400328	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	0	0	0	   1	   0	   1	   2		5.00	15:38:03.400328	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	0	0	0	   1	   0	   1	   2		5.00	15:38:03.400328	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	0	0	0	   1	   0	   1	   2		5.00	15:38:03.400328	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	0	0	0	   1	   0	   1	   2		5.00	15:38:03.400328	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	0	0	0	   1	   0	   1	   2		5.00	15:38:03.400328	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	0	0	0	   1	   0	   1	   2		5.00	15:38:03.400328	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	0	0	0	   1	   0	   1	   2		5.00	15:38:03.400328	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	0	0	0	   1	   0	   1	   2		5.00	15:38:03.400328	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	0	0	0	   1	   0	   1	   2		5.00	15:38:03.400328	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	0	0	0	   1	   0	   1	   2		5.00	15:38:03.400328	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	0	0	0	   1	   0	   1	   2		5.00	15:38:03.400328	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
